Test, Result Name, Result Value, Comment
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 2, 0.865640502, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 3, 0.851902998, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 4, 0.902114948, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 5, 0.915616379, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 6, 0.85519577, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes Test 7, 0.873815354, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes MIN, 0.851902998, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes MAX, 0.915616379, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1048576 bytes AVG, 0.876012719125, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 0, 169.915501746, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 1, 8.595041594, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 2, 190.157546724, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 3, 9.12781869, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 4, 234.017575106, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
